"Season","Team","W","L","SV","IP","R","ER","H/9","K/9","BB/9","HR/9","WHIP","BABIP","EV","ERA","FIP","xFIP","RAR","RA9-WAR","WAR"
"1883","Blues","55","42","2","879.0","443","217","8.38","4.12","2.22","0.07","1.18",".281","","2.22","3.19","","86.6","19.2","7.3"
"1904","Naps","86","65","0","1356.2","482","335","8.44","4.16","1.89","0.07","1.15",".283","","2.22","2.22","","136.3","19.3","16.3"
"1906","Browns","76","73","5","1357.2","501","336","7.50","3.70","2.08","0.09","1.07",".255","","2.23","2.37","","108.9","18.8","13.1"
"1883","Browns","65","33","1","879.1","409","218","7.46","3.33","1.54","0.07","1.00",".251","","2.23","3.13","","130.5","23.5","11.2"
"1919","Reds","96","44","9","1274.0","401","316","7.80","2.88","2.11","0.15","1.10",".251","","2.23","2.81","","107.8","24.0","12.5"
"1885","White Stockings","87","25","4","1015.2","470","252","7.69","4.06","1.79","0.33","1.05",".257","","2.23","3.05","","148.3","23.6","14.0"
"1884","Brewers","8","4","0","104.0","34","26","4.24","12.03","1.13","0.09","0.60",".237","","2.25","1.10","","57.2","8.3","7.6"
"1877","Grays","35","25","0","559.0","288","140","9.93","2.27","0.66","0.06","1.18",".299","","2.25","2.65","","104.4","13.7","9.5"
"1907","Naps","85","67","5","1392.2","523","350","8.10","3.32","2.34","0.05","1.16",".267","","2.26","2.30","","101.9","18.8","12.5"
"1909","Tigers","98","54","12","1420.1","493","357","7.95","3.35","2.27","0.10","1.14",".263","","2.26","2.38","","121.8","23.1","15.1"
"1883","Red Stockings","61","37","0","866.2","413","218","7.95","2.23","1.74","0.18","1.08",".252","","2.26","3.60","","76.9","21.5","6.4"
"1880","Ruby Legs","40","43","5","762.2","370","192","8.37","3.50","1.14","0.15","1.06",".273","","2.27","2.36","","95.3","11.9","9.6"
"1917","Giants","98","56","14","1426.2","457","360","7.70","3.48","2.06","0.18","1.09",".249","","2.27","2.50","","101.2","23.3","12.3"
"1882","Grays","52","32","1","752.0","356","190","8.26","3.27","1.04","0.14","1.03",".268","","2.27","2.59","","81.5","14.3","7.4"
"1909","Giants","92","61","15","1440.2","547","364","7.80","4.59","2.48","0.17","1.14",".268","","2.27","2.27","","170.1","18.9","20.7"
"1908","Red Sox","75","79","7","1380.1","512","349","7.82","4.07","2.37","0.12","1.13",".266","","2.28","2.16","","108.2","17.3","14.2"
"1879","Reds","43","37","0","726.0","464","185","9.37","3.05","1.00","0.14","1.15",".293","","2.29","2.59","","54.5","2.1","4.9"
"1907","Pirates","91","63","5","1363.0","514","348","7.97","3.28","2.43","0.08","1.16",".263","","2.30","2.37","","134.0","15.2","15.9"
"1902","Pirates","102","36","3","1264.2","440","323","8.13","4.01","1.78","0.03","1.10",".275","","2.30","2.41","","161.6","27.1","18.0"
"1904","White Sox","89","65","3","1380.0","482","353","7.57","3.59","1.98","0.08","1.06",".256","","2.30","2.40","","80.8","17.6","9.4"
"1904","Cubs","93","60","6","1383.2","511","354","7.48","4.02","2.61","0.10","1.12",".257","","2.30","2.55","","134.4","23.6","15.2"
"1874","Mutuals","42","23","0","586.0","377","150","10.11","0.35","0.61","0.05","1.19",".287","","2.30","3.00","","64.7","12.3","4.5"
"1915","Senators","85","68","13","1393.2","491","357","7.50","4.62","2.94","0.08","1.16",".263","","2.31","2.47","","172.5","27.8","20.4"
"1918","Red Sox","75","51","2","1120.0","381","287","7.48","3.15","3.05","0.07","1.17",".246","","2.31","2.73","","84.5","16.4","10.0"
"1878","Red Caps","41","19","0","544.0","241","140","9.84","3.04","0.63","0.10","1.16",".304","","2.32","2.21","","63.9","12.4","6.0"
"1877","Dark Blues","31","27","0","544.0","311","140","9.46","1.64","0.93","0.03","1.15",".284","","2.32","2.83","","38.7","5.6","3.3"
"1878","Blues","24","36","1","578.0","328","149","9.67","2.83","1.35","0.05","1.22",".299","","2.32","2.43","","27.9","3.0","2.5"
"1913","White Sox","78","74","8","1360.1","492","352","7.87","3.98","2.90","0.07","1.20",".267","","2.33","2.73","","124.9","23.8","14.1"
"1888","Bridegrooms","88","52","0","1286.1","584","333","7.41","4.04","1.99","0.10","1.04",".255","","2.33","2.58","","161.1","27.4","16.0"
"1907","Tigers","92","58","7","1370.2","537","355","8.41","3.36","2.50","0.05","1.21",".275","","2.33","2.34","","114.4","18.5","14.0"
"1879","Bisons","46","32","0","713.0","365","185","8.81","2.50","0.59","0.04","1.04",".277","","2.34","2.44","","94.4","12.7","8.7"
"1904","Reds","88","65","2","1392.2","548","362","8.12","3.24","2.22","0.08","1.15",".266","","2.34","2.56","","188.4","26.8","22.0"
"1908","Senators","67","85","7","1390.2","541","362","8.00","4.20","2.25","0.10","1.14",".272","","2.34","2.07","","97.0","9.7","12.5"
"1907","Athletics","88","57","6","1354.2","509","353","7.35","5.24","2.51","0.09","1.10",".265","","2.35","1.97","","150.6","19.2","19.0"
"1904","Athletics","81","70","0","1361.1","503","355","7.60","5.86","2.42","0.09","1.11",".278","","2.35","2.05","","169.2","19.7","21.0"
"1916","Phillies","91","62","9","1382.2","489","362","8.06","3.91","1.92","0.18","1.11",".263","","2.36","2.45","","149.7","20.9","19.0"
"1874","Red Stockings","52","18","3","633.0","415","166","11.05","0.37","0.38","0.01","1.27",".306","","2.36","2.87","","94.4","13.8","6.7"
"1916","White Sox","89","65","15","1412.1","498","371","7.58","4.10","2.58","0.09","1.13",".267","","2.36","2.45","","163.4","21.5","19.7"
"1914","Red Sox","91","62","8","1427.1","511","375","7.61","3.80","2.48","0.11","1.12",".258","","2.36","2.58","","134.8","21.9","15.8"
"1883","Grays","58","39","1","871.0","436","229","8.55","3.89","1.15","0.12","1.08",".281","","2.37","2.95","","99.3","18.8","8.6"
"1878","White Stockings","30","30","0","551.0","331","145","9.42","2.86","0.57","0.07","1.11",".294","","2.37","2.19","","76.1","4.6","7.2"
"1908","Reds","73","81","8","1384.0","537","365","7.92","2.82","2.70","0.12","1.18",".257","","2.37","2.55","","97.8","11.0","11.9"
"1878","Grays","33","27","0","556.0","337","147","9.86","2.80","1.39","0.08","1.25",".302","","2.38","2.49","","40.2","3.7","3.7"
"1914","Cardinals","81","72","12","1424.2","540","377","8.08","3.35","2.67","0.16","1.19",".264","","2.38","2.82","","125.2","21.5","14.1"
