"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"1978","Royals","1969","1458","12951.0","4321","1675","150","","","407","","","","","90","52","11","37",".976","53"
"1920","Giants","1100","155","1408.2","3225","2178","160","","","350","","","","","","","15","",".971","52"
"1926","Reds","1132","157","1408.2","3206","2094","143","","","418","","","","","","","15","",".974","52"
"1937","Giants","1093","152","1361.0","3251","1947","141","","","399","","","","","","","6","",".974","52"
"1952","Yankees","1156","154","1381.0","3170","1743","110","","","516","","","","","","","5","",".978","52"
"1957","Pirates","1829","1395","12554.0","4172","1695","171","","","395","","","","","40","22","14","20",".972","52"
"1961","Orioles","1966","1467","13242.0","4412","1772","128","","","465","","","","","52","30","30","45",".980","52"
"1965","Pirates","1936","1467","13311.0","4434","1977","152","","","525","","","","","50","31","12","44",".977","52"
"1969","Braves","1861","1458","13005.0","4148","1643","115","","","304","","","","","78","26","31","42",".981","52"
"1970","Twins","2061","1458","13035.0","4346","1633","123","","","347","","","","","55","47","11","38",".980","52"
"1979","Phillies","1978","1467","12972.0","4324","1798","107","","","400","","","","","95","68","5","36",".983","52"
"1987","Blue Jays","2076","1458","13086.0","4363","1699","111","","","395","","","","","123","59","13","56",".982","52"
"1991","Tigers","2006","1458","13053.0","4350","1795","104","","","462","","","","","88","58","12","50",".983","52"
"1996","Mariners","2087","1449","12885.0","4294","1541","110","","","420","","","","","78","42","8","37",".981","52"
"1928","Giants","1109","155","1394.0","3138","1984","140","","","449","","","","","","","4","",".973","51"
"1943","Reds","1113","155","1404.0","3207","1915","96","","","485","","","","","","","6","",".982","51"
"1949","Indians","1161","154","1383.2","3102","1784","88","","","508","","","","","","","5","",".982","51"
"1972","Indians","1840","1404","12690.0","4226","1735","116","","","417","","","","","66","43","16","43",".981","51"
"1985","Cardinals","2002","1458","13176.0","4384","1854","108","","","451","","","","","104","37","15","33",".983","51"
"1993","Mariners","2022","1458","13083.0","4361","1726","90","","","472","","","","","105","68","13","57",".985","51"
"1997","Royals","2073","1449","12987.0","4328","1630","91","","","449","","","","","72","42","14","62",".985","51"
"2001","Royals","2005","1460","12960.0","4320","1803","117","","","557","","","","","105","45","10","73",".981","51"
"1904","White Sox","972","156","1380.0","3302","2118","213","","","225","","","","","","","20","",".962","50"
"1904","Giants","998","157","1396.2","3435","2107","242","","","228","","","","","","","14","",".958","50"
"1925","Reds","1102","153","1375.1","3053","2002","175","","","417","","","","","","","15","",".967","50"
"1939","Reds","1113","156","1403.2","3230","1793","143","","","434","","","","","","","19","",".972","50"
"1947","Indians","1218","157","1402.1","3118","1748","83","","","466","","","","","","","7","",".983","50"
"1984","Tigers","2096","1458","13176.0","4392","1666","127","","","433","","","","","68","52","16","47",".979","50"
"1990","Mariners","1977","1458","12990.0","4330","1730","130","","","411","","","","","120","56","18","69",".979","50"
"2001","Diamondbacks","2109","1458","13137.0","4379","1558","84","","","397","","","","","107","55","12","45",".986","50"
"1883","Grays","606","98","871.0","2111","1244","333","","","170","","","","","","","97","",".910","49"
"1917","Cardinals","1126","154","1392.2","3357","2252","179","","","380","","","","","","","15","",".969","49"
"1927","Cardinals","1083","153","1367.1","3027","1914","167","","","408","","","","","","","7","",".967","49"
"1982","Angels","1966","1458","13176.0","4392","1983","108","","","470","","","","","66","77","4","36",".983","49"
"1996","Marlins","2095","1458","12987.0","4329","1795","111","","","493","","","","","84","57","12","49",".982","49"
"1884","Metropolitans","679","113","985.0","2475","1272","384","","","98","","","","","","","92","",".907","48"
"1908","White Sox","1051","156","1414.0","3520","2331","203","","","207","","","","","","","13","",".966","48"
"1909","White Sox","1046","159","1430.1","3571","2223","200","","","235","","","","","","","25","",".967","48"
"1919","Yankees","967","141","1287.0","3051","1893","161","","","264","","","","","","","13","",".968","48"
"1928","Cubs","1084","154","1380.2","3163","1923","129","","","478","","","","","","","8","",".975","48"
"1944","Cardinals","1140","157","1427.0","3148","1653","96","","","423","","","","","","","9","",".980","48"
"1957","Orioles","1901","1386","12672.0","4215","1687","113","","","419","","","","","40","57","14","29",".981","48"
"1977","Yankees","1759","1458","13044.0","4350","1735","132","","","409","","","","","89","60","13","40",".979","48"
"1978","Yankees","1859","1467","13146.0","4380","1758","113","","","362","","","","","83","61","11","43",".982","48"
"1989","Angels","1806","1458","13089.0","4365","1887","96","","","470","","","","","111","42","14","51",".985","48"
"1997","Brewers","2116","1449","12846.0","4281","1655","121","","","464","","","","","106","52","11","46",".980","48"
"2000","Royals","1932","1458","12954.0","4318","1752","102","","","495","","","","","118","38","7","77",".983","48"
"1884","Browns","687","110","987.0","2502","1356","384","","","163","","","","","","","102","",".909","47"
"1887","Giants","796","129","1111.2","2661","1593","344","","","206","","","","","","","112","",".925","47"
"1890","Reds","818","134","1190.2","2917","1646","332","","","229","","","","","","","68","",".932","47"
"1905","Cubs","965","155","1407.1","3385","1952","217","","","234","","","","","","","24","",".961","47"
"1957","Yankees","1764","1386","12558.0","4238","1749","123","","","492","","","","","41","50","13","26",".980","47"
"1960","Orioles","1915","1386","12380.0","4135","1680","108","","","467","","","","","53","34","24","34",".982","47"
"1964","Yankees","1922","1476","13560.0","4518","1849","109","","","421","","","","","33","29","12","43",".983","47"
"1972","Athletics","1882","1395","12759.0","4249","1695","130","","","389","","","","","72","38","13","29",".979","47"
"1977","Pirates","1997","1458","13335.0","4449","1779","145","","","362","","","","","102","63","13","44",".977","47"
"2000","Reds","2162","1467","13107.0","4369","1643","111","","","420","","","","","81","33","12","96",".982","47"
"1884","Beaneaters","721","116","1037.0","2634","1336","311","","","115","","","","","","","86","",".927","46"
"1905","Giants","1014","155","1370.0","3387","2016","205","","","229","","","","","","","24","",".963","46"
"1938","Pirates","1089","152","1379.2","3168","1886","131","","","447","","","","","","","7","",".975","46"
"1941","Yankees","1099","156","1396.1","3085","1693","139","","","505","","","","","","","6","",".972","46"
"1969","Yankees","1768","1458","12966.0","4322","1867","131","","","420","","","","","76","43","19","46",".979","46"
"1971","Athletics","1866","1449","13224.0","4397","1663","117","","","406","","","","","76","33","17","36",".981","46"
"1974","Red Sox","1789","1458","13098.0","4366","1716","145","","","412","","","","","108","60","10","41",".977","46"
"1983","White Sox","2055","1458","13008.0","4337","1853","119","","","433","","","","","99","45","12","38",".981","46"
"1983","Rangers","1804","1466","13191.0","4399","1897","112","","","409","","","","","101","63","14","36",".983","46"
"1881","White Stockings","528","84","744.2","1810","1061","225","","","121","","","","","","","67","",".927","45"
"1907","Naps","1007","158","1392.2","3362","2122","222","","","331","","","","","","","30","",".961","45"
"1914","Braves","1071","158","1421.0","3392","2080","201","","","353","","","","","","","17","",".965","45"
"1954","White Sox","1205","155","1383.0","3092","1615","78","","","387","","","","","","","4","23",".984","45"
"1970","Mets","1886","1458","13137.0","4380","1513","124","","","357","","","","","64","42","6","48",".979","45"
"1973","Reds","2042","1458","13257.0","4420","1839","115","","","444","","","","","43","33","13","36",".982","45"
"1975","Athletics","2079","1458","13032.0","4344","1686","143","","","371","","","","","110","50","13","48",".977","45"
"1995","Orioles","1814","1296","11403.0","3801","1441","72","","","386","","","","","98","43","8","30",".986","45"
"1995","Royals","1848","1296","11592.0","3860","1660","90","","","443","","","","","78","29","11","45",".984","45"
"2000","Cardinals","2160","1452","12903.0","4301","1524","111","","","391","","","","","70","66","8","49",".981","45"
"1879","White Stockings","499","83","744.0","1859","1109","274","","","104","","","","","","","69","",".915","44"
"1884","Eclipse","686","110","989.2","2437","1361","349","","","196","","","","","","","145","",".916","44"
"1890","Bridegrooms","792","129","1145.0","2743","1541","280","","","212","","","","","","","58","",".939","44"
"1891","Reds","853","138","1218.2","2985","1847","333","","","234","","","","","","","61","",".936","44"
"1913","Senators","1111","155","1396.1","3371","2006","205","","","295","","","","","","","22","",".963","44"
