"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"1961","Pirates","1707","1386","12258.0","4075","1794","150","","","512","","","","","41","24","19","40",".975","-6"
"1965","Giants","1967","1467","13188.0","4396","1705","148","","","318","","","","","65","30","26","49",".976","-6"
"1967","Pirates","1888","1467","13125.0","4374","1982","141","","","491","","","","","60","39","15","34",".978","-6"
"1971","Tigers","1996","1458","13215.0","4396","1744","106","","","413","","","","","81","42","12","40",".983","-6"
"1972","Phillies","1881","1404","12600.0","4200","1705","116","","","381","","","","","87","45","15","51",".981","-6"
"1973","Braves","1936","1458","13158.0","4383","1809","166","","","391","","","","","119","60","23","49",".974","-6"
"1976","Astros","1834","1458","12999.0","4338","1798","140","","","407","","","","","166","59","32","57",".978","-6"
"1977","Twins","1891","1449","12978.0","4326","1932","144","","","498","","","","","107","67","10","48",".978","-6"
"1981","Orioles","1318","945","8460.0","2820","1212","69","","","311","","","","","50","41","11","29",".983","-6"
"1985","Red Sox","1838","1467","13152.0","4385","1846","145","","","430","","","","","94","62","14","34",".977","-6"
"1989","Cubs","2016","1458","13143.0","4380","1725","123","","","338","","","","","87","56","12","44",".980","-6"
"1994","Indians","1362","1017","9168.0","3056","1290","90","","","314","","","","","75","33","7","58",".980","-6"
"1996","Rockies","2107","1458","12804.0","4268","1901","149","","","456","","","","","122","55","19","66",".976","-6"
"1997","Twins","2050","1458","12906.0","4301","1694","101","","","456","","","","","85","46","14","66",".983","-6"
"1871","Forest Citys","193","29","254.0","639","283","203","","","28","","","","","","","0","",".820","-7"
"1882","Eclipse","498","79","693.1","1739","1074","330","","","124","","","","","","","114","",".895","-7"
"1884","Browns/Stogies","575","92","803.2","2119","996","369","","","83","","","","","","","101","",".894","-7"
"1884","Virginians","273","45","370.1","879","524","187","","","52","","","","","","","63","",".882","-7"
"1892","Colonels","949","154","1346.0","3202","1964","384","","","300","","","","","","","81","",".931","-7"
"1895","Colts","821","133","1150.2","2653","1639","326","","","268","","","","","","","38","",".929","-7"
"1903","White Sox","866","138","1235.0","2860","1801","262","","","197","","","","","","","30","",".947","-7"
"1903","Giants","910","142","1262.2","3038","1689","247","","","201","","","","","","","15","",".950","-7"
"1905","Reds","987","155","1365.2","3246","2086","259","","","281","","","","","","","36","",".954","-7"
"1907","Superbas","978","153","1356.1","3183","1951","218","","","228","","","","","","","17","",".959","-7"
"1909","Browns","1000","154","1354.2","3256","1920","210","","","247","","","","","","","17","",".961","-7"
"1915","Blues","1072","153","1360.0","3247","2009","193","","","277","","","","","","","20","",".965","-7"
"1917","Tigers","1079","154","1396.1","3199","1930","196","","","208","","","","","","","21","",".963","-7"
"1918","Phillies","850","125","1139.2","2594","1710","176","","","223","","","","","","","14","",".961","-7"
"1921","Senators","1050","154","1383.2","3066","1847","173","","","322","","","","","","","8","",".966","-7"
"1921","Robins","1072","152","1363.1","3161","2049","194","","","359","","","","","","","14","",".964","-7"
"1925","Indians","1104","155","1372.1","3009","1889","163","","","342","","","","","","","8","",".968","-7"
"1928","Browns","1095","154","1374.1","3008","1719","162","","","367","","","","","","","8","",".967","-7"
"1928","Pirates","1078","152","1354.0","2931","1758","170","","","329","","","","","","","10","",".965","-7"
"1937","Reds","1182","155","1358.1","3127","1829","182","","","365","","","","","","","16","",".965","-7"
"1951","Pirates","1295","155","1380.1","3152","1763","148","","","463","","","","","","","9","",".971","-7"
"1954","Red Sox","1258","156","1412.1","3246","1792","155","","","446","","","","","","","13","22",".970","-7"
"1955","Pirates","1194","154","1362.0","3077","1689","136","","","437","","","","","","","19","16",".972","-7"
"1957","Athletics","1834","1386","12327.0","4096","1719","125","","","427","","","","","50","30","22","39",".979","-7"
"1964","Giants","2010","1458","13284.0","4416","1715","157","","","341","","","","","70","36","11","34",".975","-7"
"1968","Twins","1979","1458","12900.0","4307","1712","170","","","316","","","","","78","36","9","52",".973","-7"
"1977","Indians","1849","1449","13071.0","4360","1705","129","","","385","","","","","158","64","8","47",".979","-7"
"1984","Indians","2039","1467","13209.0","4399","1717","146","","","441","","","","","100","47","14","46",".977","-7"
"1995","Expos","1892","1296","11553.0","3851","1558","109","","","308","","","","","145","56","6","45",".980","-7"
"1884","Outlaw Reds","637","103","914.1","2315","1167","438","","","98","","","","","","","137","",".888","-8"
"1885","Red Stockings","690","112","999.1","2340","1245","341","","","193","","","","","","","99","",".913","-8"
"1885","Wolverines","655","108","954.1","2343","1286","370","","","136","","","","","","","74","",".907","-8"
"1886","Colonels","845","138","1209.2","3034","1670","489","","","213","","","","","","","203","",".906","-8"
"1912","Cardinals","1084","153","1353.0","3074","1972","213","","","270","","","","","","","9","",".959","-8"
"1920","Cardinals","1121","155","1426.2","3246","2032","204","","","343","","","","","","","18","",".963","-8"
"1924","Athletics","1100","152","1345.0","3069","1880","156","","","382","","","","","","","12","",".969","-8"
"1924","Cardinals","1121","154","1364.2","2974","1819","150","","","393","","","","","","","12","",".970","-8"
"1928","Tigers","1118","154","1372.0","3101","1805","174","","","369","","","","","","","12","",".966","-8"
"1928","Robins","1138","155","1396.0","3188","1825","182","","","297","","","","","","","8","",".965","-8"
"1934","Browns","1118","154","1350.0","3041","1697","141","","","413","","","","","","","10","",".971","-8"
"1936","Athletics","1096","154","1352.1","2949","1734","167","","","393","","","","","","","21","",".966","-8"
"1944","Browns","1116","154","1397.1","3038","1718","146","","","364","","","","","","","12","",".970","-8"
"1944","Athletics","1093","155","1397.1","3041","1709","145","","","326","","","","","","","12","",".970","-8"
"1952","Indians","1186","155","1407.0","3130","1703","141","","","372","","","","","","","5","",".972","-8"
"1962","Reds","1854","1458","13146.0","4377","1683","145","","","374","","","","","75","38","22","45",".977","-8"
"1975","Indians","1810","1431","12918.0","4305","1754","134","","","419","","","","","121","74","15","51",".978","-8"
"1978","White Sox","1865","1449","12684.0","4227","1710","139","","","340","","","","","129","60","13","40",".977","-8"
"1980","Mariners","1952","1466","13108.0","4372","1930","148","","","503","","","","","114","54","13","31",".977","-8"
"1980","Expos","1904","1458","13110.0","4370","1783","144","","","336","","","","","116","71","7","37",".977","-8"
"1982","Phillies","1995","1458","13107.0","4369","1820","119","","","376","","","","","154","64","11","49",".981","-8"
"1986","Orioles","1947","1458","12930.0","4312","1651","134","","","437","","","","","123","56","7","52",".978","-8"
"1996","Angels","2002","1449","12951.0","4318","1702","128","","","424","","","","","146","54","12","80",".979","-8"
"1998","Royals","2040","1449","12927.0","4309","1689","125","","","461","","","","","80","43","11","72",".980","-8"
"1999","Twins","2171","1449","12810.0","4270","1613","92","","","401","","","","","73","37","12","57",".985","-8"
"1871","Haymakers","177","29","250.0","570","316","155","","","51","","","","","","","0","",".851","-9"
"1887","Orioles","871","141","1220.0","2959","1674","472","","","149","","","","","","","145","",".908","-9"
"1894","Grooms","849","134","1162.1","2598","1507","320","","","200","","","","","","","32","",".928","-9"
"1904","Tigers","1013","162","1430.0","3349","2111","238","","","218","","","","","","","17","",".958","-9"
"1913","Braves","1050","154","1373.1","3231","1926","213","","","198","","","","","","","11","",".960","-9"
"1917","Browns","1122","155","1385.1","3216","2040","241","","","320","","","","","","","20","",".956","-9"
"1931","Robins","1108","153","1356.0","3013","1773","143","","","404","","","","","","","10","",".971","-9"
"1932","Indians","1052","153","1377.1","3005","1796","163","","","321","","","","","","","6","",".967","-9"
"1932","Yankees","1097","156","1408.0","3221","1587","146","","","317","","","","","","","10","",".971","-9"
"1932","Pirates","1079","154","1377.0","2853","1609","157","","","327","","","","","","","9","",".966","-9"
"1933","Red Sox","1097","149","1327.2","2958","1722","154","","","329","","","","","","","3","",".968","-9"
"1935","Athletics","1075","149","1326.1","2894","1659","139","","","382","","","","","","","11","",".970","-9"
"1939","Red Sox","1142","152","1350.2","3009","1765","144","","","403","","","","","","","6","",".971","-9"
"1944","Red Sox","1124","156","1394.1","3103","1737","146","","","412","","","","","","","12","",".971","-9"
"1945","Indians","1063","147","1302.1","2883","1527","103","","","365","","","","","","","18","",".977","-9"
"1948","White Sox","1157","154","1345.2","2929","1808","136","","","460","","","","","","","15","",".972","-9"
"1958","Indians","1863","1377","12360.0","4093","1571","152","","","459","","","","","48","35","35","32",".974","-9"
"1959","Redlegs","1779","1386","12213.0","4066","1588","126","","","412","","","","","40","35","6","28",".978","-9"
"1961","Phillies","1856","1395","12450.0","4149","1803","146","","","478","","","","","73","60","26","53",".976","-9"
"1966","Indians","1925","1458","13206.0","4385","1594","138","","","348","","","","","49","42","16","50",".977","-9"
"1985","Athletics","2053","1458","13077.0","4355","1564","139","","","362","","","","","104","51","19","48",".977","-9"
"1987","Royals","1853","1458","12815.0","4273","1850","131","","","406","","","","","124","66","17","54",".979","-9"
"1991","Reds","2035","1458","12960.0","4321","1615","125","","","346","","","","","140","60","20","60",".979","-9"
"1994","Royals","1346","1035","9285.0","3095","1253","80","","","269","","","","","91","30","5","60",".982","-9"
"2000","Padres","2165","1458","13134.0","4386","1676","141","","","417","","","","","106","50","13","66",".977","-9"
"1873","Marylands","41","6","54.0","133","72","61","","","0","","","","","","","0","",".771","-10"
"1879","Reds","504","81","726.0","1772","995","334","","","107","","","","","","","109","",".892","-10"
"1886","Nationals","751","122","1041.0","2538","1463","369","","","173","","","","","","","109","",".916","-10"
"1887","Grays","842","138","1185.1","2780","1710","460","","","200","","","","","","","117","",".907","-10"
"1890","Stars","784","127","1089.2","2607","1483","324","","","204","","","","","","","85","",".927","-10"
"1904","Browns","982","156","1410.0","3384","2118","213","","","175","","","","","","","19","",".963","-10"
"1908","Red Sox","1036","155","1380.1","3334","2059","263","","","191","","","","","","","22","",".954","-10"
"1911","Reds","1131","159","1425.0","3277","1949","259","","","286","","","","","","","15","",".953","-10"
"1913","Reds","1118","156","1380.0","3181","1984","206","","","250","","","","","","","14","",".962","-10"
"1917","Senators","1093","157","1413.0","3246","1814","207","","","308","","","","","","","22","",".961","-10"
"1927","Robins","1086","154","1375.1","3059","1743","198","","","295","","","","","","","9","",".960","-10"
"1930","Braves","1114","154","1361.0","2902","1745","146","","","443","","","","","","","14","",".970","-10"
"1938","Red Sox","1097","150","1316.1","2880","1672","164","","","461","","","","","","","7","",".965","-10"
"1938","Dodgers","1150","151","1332.0","2969","1655","133","","","387","","","","","","","14","",".972","-10"
"1940","Dodgers","1190","156","1433.0","3214","1597","152","","","282","","","","","","","7","",".969","-10"
"1947","Tigers","1146","158","1398.2","3082","1707","122","","","358","","","","","","","8","",".975","-10"
"1951","Phillies","1163","154","1384.2","2965","1569","111","","","387","","","","","","","14","",".976","-10"
"1952","Pirates","1238","155","1363.2","3139","1731","154","","","448","","","","","","","4","",".969","-10"
"1956","Tigers","1698","1395","12411.0","4127","1544","140","","","413","","","","","33","36","11","29",".976","-10"
"1956","Athletics","1836","1386","12333.0","4107","1783","166","","","493","","","","","49","47","19","36",".973","-10"
"1957","Giants","1874","1386","12588.0","4184","1808","161","","","470","","","","","34","29","14","22",".974","-10"
"1966","Dodgers","1944","1458","13122.0","4375","1774","133","","","343","","","","","54","42","11","42",".979","-10"
"1970","Cubs","1846","1458","12915.0","4308","1789","137","","","396","","","","","71","48","19","40",".978","-10"
"1973","Giants","1895","1458","13071.0","4362","1753","163","","","378","","","","","103","34","15","58",".974","-10"
"1987","Orioles","1900","1458","12957.0","4319","1748","111","","","465","","","","","145","57","5","52",".982","-10"
"1998","Orioles","2087","1458","12882.0","4293","1760","81","","","394","","","","","182","53","12","51",".987","-10"
"1872","Forest Citys","145","22","199.0","481","213","156","","","46","","","","","","","0","",".816","-11"
"1911","Red Sox","1039","153","1351.2","3241","1893","275","","","213","","","","","","","28","",".949","-11"
"1914","Cubs","1105","156","1389.1","3224","1851","259","","","187","","","","","","","29","",".951","-11"
"1915","Pepper","1027","155","1406.2","3352","2005","205","","","298","","","","","","","6","",".963","-11"
"1919","Browns","966","140","1256.0","2832","1754","157","","","218","","","","","","","10","",".967","-11"
"1923","Athletics","1094","153","1364.2","3005","1896","187","","","337","","","","","","","23","",".963","-11"
"1929","Pirates","1134","154","1379.0","2989","1760","159","","","342","","","","","","","9","",".968","-11"
"1929","Cardinals","1096","154","1359.2","2913","1718","139","","","368","","","","","","","6","",".971","-11"
"1930","Pirates","1057","154","1361.1","2969","1829","169","","","418","","","","","","","8","",".966","-11"
"1931","Browns","1123","154","1362.0","3070","1835","189","","","420","","","","","","","6","",".963","-11"
"1949","Reds","1222","156","1401.2","3019","1673","104","","","392","","","","","","","19","",".978","-11"
"1952","Athletics","1127","155","1384.1","3046","1737","114","","","395","","","","","","","11","",".977","-11"
"1952","Cubs","1152","155","1386.1","3058","1626","127","","","309","","","","","","","18","",".974","-11"
"1953","Pirates","1211","154","1358.0","2991","1697","135","","","348","","","","","","","32","",".972","-11"
"1957","Phillies","1749","1404","12609.0","4197","1435","135","","","307","","","","","68","25","9","29",".977","-11"
"1960","Braves","1736","1386","12486.0","4155","1663","141","","","359","","","","","38","32","16","40",".976","-11"
"1968","Cubs","1840","1467","13080.0","4360","1895","119","","","400","","","","","51","50","9","41",".981","-11"
"1969","Cubs","1875","1467","13089.0","4361","1867","136","","","391","","","","","60","54","11","39",".979","-11"
"1973","Phillies","1972","1458","13026.0","4340","1760","135","","","492","","","","","65","60","19","61",".978","-11"
"1974","Pirates","1855","1458","13194.0","4398","1853","162","","","420","","","","","85","54","10","48",".975","-11"
"1983","Pirates","1948","1458","13161.0","4388","1719","115","","","429","","","","","126","64","9","52",".982","-11"
"1987","Reds","2034","1458","13071.0","4358","1645","130","","","369","","","","","139","75","13","33",".979","-11"
"1988","Mariners","1880","1449","12852.0","4284","1611","124","","","452","","","","","117","52","16","50",".979","-11"
"1990","Tigers","1998","1458","12873.0","4292","1774","131","","","488","","","","","136","59","15","76",".979","-11"
"2000","Marlins","2109","1449","12867.0","4289","1714","125","","","384","","","","","104","55","12","49",".980","-11"
"2001","Orioles","1986","1457","12891.0","4297","1598","125","","","371","","","","","157","51","14","37",".979","-11"
"2001","Cubs","2257","1458","12933.0","4311","1491","109","","","307","","","","","106","46","13","48",".982","-11"
"1881","Red Caps","518","83","730.2","1711","984","268","","","112","","","","","","","132","",".910","-12"
"1884","Quicksteps","109","17","142.0","360","202","79","","","27","","","","","","","43","",".877","-12"
"1887","Colonels","836","137","1205.2","2864","1653","472","","","193","","","","","","","135","",".905","-12"
"1891","Athletics","866","142","1233.2","2939","1616","329","","","183","","","","","","","63","",".933","-12"
"1897","Bridegrooms","855","136","1194.2","2692","1669","308","","","209","","","","","","","28","",".934","-12"
"1903","Reds","872","141","1230.0","2911","1756","226","","","189","","","","","","","31","",".954","-12"
"1907","Cardinals","975","155","1365.2","3329","2044","299","","","243","","","","","","","25","",".947","-12"
"1909","Senators","1060","156","1374.2","3312","2008","243","","","239","","","","","","","21","",".956","-12"
"1910","Giants","1084","155","1391.2","3328","1888","241","","","287","","","","","","","22","",".956","-12"
"1911","Senators","1021","154","1353.1","3266","2077","250","","","229","","","","","","","39","",".955","-12"
"1913","Tigers","1059","153","1360.0","3222","2102","247","","","244","","","","","","","18","",".956","-12"
"1920","Browns","1052","154","1378.2","3040","1886","192","","","265","","","","","","","6","",".962","-12"
"1928","Indians","1097","155","1378.0","3105","1992","186","","","468","","","","","","","16","",".965","-12"
"1930","Indians","1150","154","1360.0","3108","1884","191","","","401","","","","","","","8","",".963","-12"
"1932","Cardinals","1118","156","1396.0","3172","1705","136","","","408","","","","","","","7","",".973","-12"
"1936","Red Sox","1114","155","1372.1","3075","1621","136","","","351","","","","","","","7","",".972","-12"
"1936","Indians","1123","157","1389.1","3180","1767","151","","","391","","","","","","","14","",".970","-12"
"1936","Pirates","1096","156","1395.1","3078","1644","164","","","282","","","","","","","4","",".966","-12"
"1942","Cubs","1148","155","1400.2","3159","1821","148","","","361","","","","","","","10","",".971","-12"
"1950","Pirates","1271","154","1368.2","3031","1704","114","","","446","","","","","","","9","",".976","-12"
"1952","Browns","1252","155","1399.0","2995","1647","126","","","481","","","","","","","12","",".974","-12"
"1958","Orioles","1980","1386","12327.0","4113","1523","115","","","431","","","","","30","30","14","32",".980","-12"
"1963","Athletics","1825","1458","13122.0","4371","1717","127","","","360","","","","","96","26","11","41",".980","-12"
"1963","Reds","1800","1458","12957.0","4315","1575","134","","","342","","","","","69","46","17","64",".978","-12"
"1964","Braves","1984","1458","12912.0","4301","1758","144","","","379","","","","","49","32","16","69",".977","-12"
"1965","Indians","1919","1458","13125.0","4363","1574","113","","","328","","","","","51","39","24","50",".981","-12"
"1965","Mets","2092","1476","13092.0","4377","1944","171","","","414","","","","","93","52","19","53",".974","-12"
"1966","Braves","2013","1467","13224.0","4405","1735","154","","","382","","","","","65","56","27","70",".976","-12"
"1975","Rangers","1909","1458","13191.0","4397","1981","191","","","468","","","","","96","71","11","46",".971","-12"
"1983","Red Sox","1783","1458","13017.0","4338","1718","130","","","441","","","","","155","53","8","28",".979","-12"
"1998","Marlins","2055","1458","13047.0","4347","1738","129","","","471","","","","","109","54","18","62",".979","-12"
"1890","Reds","841","130","1137.1","2680","1654","394","","","264","","","","","","","46","",".917","-13"
"1894","Colonels","810","129","1096.2","2481","1541","330","","","301","","","","","","","31","",".924","-13"
"1897","Senators","843","133","1148.0","2644","1648","313","","","232","","","","","","","20","",".932","-13"
"1907","Giants","1034","155","1371.0","3240","1839","200","","","161","","","","","","","19","",".962","-13"
"1912","Browns","1075","157","1369.2","3121","1915","277","","","295","","","","","","","15","",".948","-13"
"1916","Senators","1115","159","1430.2","3241","1809","189","","","272","","","","","","","32","",".964","-13"
"1916","Reds","1095","155","1408.0","3234","2025","197","","","295","","","","","","","19","",".964","-13"
"1917","Robins","1064","156","1421.1","3230","1936","205","","","225","","","","","","","14","",".962","-13"
"1918","Reds","861","129","1142.1","2530","1638","161","","","318","","","","","","","14","",".963","-13"
"1918","Robins","821","126","1131.1","2582","1643","160","","","169","","","","","","","16","",".964","-13"
"1921","Phillies","1087","154","1348.2","3085","2098","235","","","304","","","","","","","15","",".957","-13"
"1928","White Sox","1083","155","1378.0","2989","1797","151","","","372","","","","","","","10","",".969","-13"
"1932","Red Sox","1168","154","1362.0","3069","1913","183","","","420","","","","","","","5","",".965","-13"
"1937","Indians","1119","156","1364.2","3161","1815","125","","","397","","","","","","","8","",".975","-13"
"1939","Pirates","1130","153","1354.0","3025","1816","140","","","408","","","","","","","8","",".972","-13"
"1942","Browns","1098","151","1363.0","3072","1722","139","","","378","","","","","","","22","",".972","-13"
"1949","Cubs","1174","154","1357.2","3057","1838","161","","","396","","","","","","","20","",".968","-13"
"1952","Reds","1145","154","1363.1","3026","1622","95","","","392","","","","","","","6","",".980","-13"
"1960","Senators","1923","1386","12648.0","4213","1716","165","","","429","","","","","39","45","19","34",".973","-13"
"1969","Reds","1968","1467","13185.0","4396","1756","168","","","419","","","","","42","43","17","75",".973","-13"
"1970","Braves","1829","1458","12876.0","4168","1688","141","","","325","","","","","124","33","30","46",".976","-13"
"1976","Athletics","1917","1449","13134.0","4379","1821","144","","","340","","","","","126","63","11","40",".977","-13"
"1980","White Sox","1956","1458","12918.0","4304","1924","169","","","443","","","","","124","58","13","49",".974","-13"
"1985","Orioles","1926","1449","12846.0","4282","1714","130","","","449","","","","","130","37","4","32",".979","-13"
"1997","Reds","2169","1458","13041.0","4347","1576","106","","","338","","","","","139","48","13","64",".982","-13"
"1998","Pirates","2035","1467","13041.0","4346","1698","140","","","433","","","","","95","39","14","45",".977","-13"
"1884","Hoosiers","680","110","937.2","2331","1242","379","","","94","","","","","","","175","",".904","-14"
"1897","Colts","858","138","1197.0","2853","1754","322","","","268","","","","","","","29","",".935","-14"
"1898","Colonels","960","154","1334.0","3047","1842","321","","","259","","","","","","","30","",".938","-14"
"1900","Phillies","901","141","1248.2","2877","1891","263","","","299","","","","","","","57","",".948","-14"
"1903","Senators","867","140","1223.2","2826","1731","217","","","197","","","","","","","12","",".955","-14"
"1905","Phillies","987","155","1398.2","3169","1859","238","","","227","","","","","","","13","",".955","-14"
"1914","Hoosiers","1041","157","1397.2","3322","1979","228","","","276","","","","","","","15","",".959","-14"
"1918","Braves","810","124","1117.1","2552","1718","147","","","210","","","","","","","10","",".967","-14"
"1923","Robins","1078","155","1396.2","3194","1997","226","","","351","","","","","","","20","",".958","-14"
"1933","Cardinals","1112","154","1382.2","3032","1628","131","","","304","","","","","","","11","",".973","-14"
"1934","Red Sox","1100","153","1361.0","3114","1746","143","","","367","","","","","","","7","",".971","-14"
"1941","Red Sox","1130","155","1372.0","3067","1725","131","","","367","","","","","","","9","",".973","-14"
"1948","Tigers","1194","154","1377.0","3030","1613","114","","","382","","","","","","","13","",".976","-14"
"1954","Pirates","1184","154","1346.0","2965","1689","143","","","346","","","","","","","9","23",".970","-14"
"1967","Reds","1858","1458","13212.0","4404","1601","121","","","337","","","","","81","44","12","60",".980","-14"
"1969","Royals","1910","1467","13182.0","4388","1654","157","","","294","","","","","75","43","17","52",".975","-14"
"1969","Giants","1924","1458","13263.0","4418","1928","169","","","411","","","","","66","44","19","54",".974","-14"
"1977","Tigers","1775","1458","13113.0","4368","1933","142","","","416","","","","","90","69","6","37",".978","-14"
"1983","Brewers","1749","1458","13086.0","4364","1771","113","","","444","","","","","157","47","8","29",".982","-14"
"1987","Red Sox","1824","1458","12924.0","4308","1684","110","","","432","","","","","109","60","30","37",".982","-14"
"1987","Mariners","1857","1458","12876.0","4291","1755","122","","","411","","","","","111","50","4","47",".980","-14"
"1991","Indians","1972","1458","12972.0","4324","1712","149","","","408","","","","","102","47","19","48",".976","-14"
"1992","Yankees","1889","1458","13074.0","4357","1739","114","","","444","","","","","164","62","16","52",".982","-14"
"2000","Indians","2095","1458","12981.0","4327","1667","72","","","403","","","","","109","42","10","50",".988","-14"
"1872","Canaries","374","58","515.2","1232","539","376","","","50","","","","","","","0","",".825","-15"
"1885","Metropolitans","661","108","937.0","2254","1265","357","","","149","","","","","","","99","",".908","-15"
"1888","Cowboys","805","132","1157.2","2820","1862","422","","","209","","","","","","","114","",".917","-15"
"1894","Phillies","852","129","1125.2","2501","1462","287","","","259","","","","","","","45","",".932","-15"
"1908","Reds","991","155","1384.0","3122","1856","219","","","203","","","","","","","21","",".958","-15"
"1908","Superbas","993","154","1369.0","3201","1968","207","","","173","","","","","","","13","",".961","-15"
"1910","Superbas","1040","156","1420.1","3267","1916","191","","","294","","","","","","","19","",".964","-15"
"1912","Reds","1071","155","1377.2","3085","1826","200","","","233","","","","","","","6","",".961","-15"
"1924","Browns","1153","153","1353.1","2902","1731","148","","","349","","","","","","","6","",".969","-15"
"1938","Indians","1094","153","1353.0","3048","1587","121","","","371","","","","","","","11","",".975","-15"
"1941","Cubs","1132","155","1364.2","3084","1730","159","","","365","","","","","","","9","",".968","-15"
"1942","Phillies","1179","151","1341.0","3035","1762","170","","","384","","","","","","","9","",".966","-15"
"1945","Senators","1087","156","1412.2","3065","1713","149","","","315","","","","","","","40","",".970","-15"
"1946","Cubs","1227","155","1393.0","3106","1733","114","","","291","","","","","","","13","",".977","-15"
"1951","Cubs","1194","155","1385.2","3087","1775","154","","","429","","","","","","","17","",".969","-15"
"1962","Tigers","1815","1449","12993.0","4327","1443","156","","","295","","","","","48","26","10","34",".974","-15"
"1980","Yankees","1930","1458","13179.0","4392","1851","138","","","425","","","","","64","69","16","45",".978","-15"
"1981","Mariners","1403","990","8975.0","2993","1285","91","","","330","","","","","85","35","9","40",".979","-15"
"1982","Astros","1866","1458","13020.0","4339","1826","136","","","420","","","","","177","57","32","61",".978","-15"
"1988","Royals","1916","1449","12855.0","4284","1716","123","","","401","","","","","117","42","12","55",".980","-15"
"1993","Cardinals","2081","1458","13077.0","4360","1892","159","","","435","","","","","112","54","14","40",".975","-15"
"1998","Mariners","2049","1449","12819.0","4272","1571","125","","","368","","","","","127","49","11","61",".979","-15"
"1998","Cubs","2250","1467","13296.0","4432","1622","101","","","279","","","","","120","43","7","48",".984","-15"
"1998","Dodgers","2075","1458","13026.0","4340","1732","134","","","417","","","","","93","57","8","46",".978","-15"
"1872","Mansfields","153","24","211.0","533","285","197","","","18","","","","","","","0","",".806","-16"
"1872","Nationals","68","11","99.0","214","112","95","","","4","","","","","","","0","",".774","-16"
"1874","Canaries","309","47","422.0","936","600","371","","","36","","","","","","","0","",".805","-16"
"1881","Ruby Legs","502","83","737.1","1758","1016","269","","","123","","","","","","","76","",".912","-16"
"1891","Grooms","851","137","1204.2","2798","1572","374","","","162","","","","","","","36","",".921","-16"
"1892","Senators","966","153","1315.1","3161","1924","447","","","262","","","","","","","59","",".919","-16"
"1893","Colts","811","128","1117.1","2594","1544","330","","","216","","","","","","","38","",".926","-16"
"1893","Orioles","813","130","1123.2","2569","1563","312","","","225","","","","","","","44","",".930","-16"
"1915","Indians","1094","154","1372.0","3211","1989","223","","","194","","","","","","","19","",".959","-16"
"1916","Cardinals","1140","153","1355.0","3202","2022","231","","","297","","","","","","","22","",".958","-16"
"1925","Browns","1137","154","1379.2","3074","1868","184","","","403","","","","","","","15","",".964","-16"
"1926","Yankees","1126","155","1372.1","3064","1772","170","","","284","","","","","","","15","",".966","-16"
"1927","Indians","1095","153","1353.1","3035","1928","163","","","368","","","","","","","10","",".968","-16"
"1933","Phillies","1130","152","1336.2","2921","1797","161","","","395","","","","","","","11","",".967","-16"
"1937","Phillies","1176","155","1373.2","3108","1826","148","","","393","","","","","","","11","",".971","-16"
"1943","Cubs","1143","154","1386.0","3076","1787","143","","","349","","","","","","","14","",".971","-16"
"1945","White Sox","1057","150","1330.2","2933","1774","154","","","355","","","","","","","9","",".968","-16"
"1947","Phillies","1171","155","1362.0","2990","1668","117","","","376","","","","","","","27","",".975","-16"
"1950","Braves","1140","156","1385.1","3094","1640","157","","","383","","","","","","","9","",".968","-16"
"1961","Twins","1973","1449","12891.0","4303","1627","174","","","407","","","","","55","24","16","41",".971","-16"
"1964","Phillies","2047","1458","13143.0","4382","1674","157","","","391","","","","","57","45","21","51",".975","-16"
"1969","White Sox","2002","1458","12939.0","4300","1996","121","","","432","","","","","109","47","36","59",".981","-16"
"1971","Indians","1986","1458","12960.0","4321","1706","116","","","419","","","","","72","51","18","68",".981","-16"
"1978","Blue Jays","1808","1449","12864.0","4290","1761","131","","","437","","","","","101","66","16","47",".979","-16"
"1983","Braves","1961","1458","12966.0","4323","1851","137","","","472","","","","","172","68","6","34",".978","-16"
"1984","Phillies","2092","1458","13125.0","4376","1793","161","","","299","","","","","145","50","10","41",".975","-16"
"1985","Rangers","1907","1449","12705.0","4233","1701","120","","","400","","","","","119","41","23","43",".980","-16"
"1991","Phillies","2001","1458","13167.0","4389","1623","119","","","297","","","","","151","48","9","81",".981","-16"
"1991","Pirates","2065","1458","13110.0","4370","1846","120","","","357","","","","","142","74","9","40",".981","-16"
"1992","Royals","1949","1458","13026.0","4342","1748","122","","","439","","","","","107","52","14","42",".980","-16"
"1994","Mets","1434","1017","9207.0","3071","1285","89","","","306","","","","","68","34","10","26",".980","-16"
"1996","Indians","2002","1449","13071.0","4356","1765","124","","","420","","","","","104","52","11","49",".980","-16"
"1890","Gladiators","610","100","879.0","2069","1339","346","","","204","","","","","","","52","",".908","-17"
"1901","Giants","897","141","1232.0","2995","1826","287","","","184","","","","","","","48","",".944","-17"
"1905","Highlanders","1021","152","1353.2","3238","1728","247","","","208","","","","","","","23","",".953","-17"
"1906","Beaneaters","938","152","1334.1","3297","2011","280","","","232","","","","","","","23","",".950","-17"
"1911","Highlanders","1051","153","1360.2","3247","1910","279","","","249","","","","","","","24","",".949","-17"
"1924","Robins","1042","154","1376.0","3115","1816","162","","","302","","","","","","","9","",".968","-17"
"1926","Tigers","1200","157","1394.2","3157","1853","148","","","365","","","","","","","9","",".971","-17"
