"Season","Team","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRAA","wRC+","EV","BsR","Off","Def","WAR"
"1923","Yankees","6036","105","824","771","69",".132",".307",".291",".357",".423",".363","76.4","105","","-3.4","37.1","88.7","31.8"
"1927","Giants","6045","109","817","765","73",".131",".309",".297",".356",".427",".363","86.9","110","","10.2","87.0","50.8","32.6"
"1997","Mariners","6385","264","925","890","89",".204",".305",".280",".355",".485",".363","164.9","116","","1.0","133.6","-10.9","34.0"
"1947","Giants","5924","221","830","790","29",".183",".269",".271",".335",".454",".363","122.7","105","","4.8","39.1","29.4","27.4"
"1999","Rangers","6389","230","945","897","111",".186",".313",".293",".361",".479",".363","124.1","109","","-2.1","74.6","-20.4","26.3"
"1931","Athletics","6018","118","858","798","25",".147",".302",".287",".355",".435",".363","113.8","104","","-6.3","27.6","86.9","32.8"
"1887","Wolverines","5079","55","969","818","267",".134",".308",".299",".353",".434",".363","139.1","114","","-27.6","90.7","50.7","27.5"
"1928","Pirates","6037","52","837","768","64",".112",".324",".309",".364",".421",".363","90.4","102","","9.5","24.0","35.9","24.7"
"1890","Giants","5430","66","1018","793","231",".121",".296",".284",".352",".405",".363","116.8","96","","-13.2","-55.0","26.2","19.7"
"1931","Indians","6116","71","885","812","63",".123",".312",".296",".364",".420",".363","113.8","101","","-14.9","-5.4","4.2","21.7"
"1934","Yankees","6178","135","842","789","71",".140",".293",".278",".364",".419",".362","98.5","107","","-9.1","55.7","74.1","33.9"
"1924","Yankees","5918","98","799","735","69",".137",".302",".291",".353",".427",".362","64.1","100","","-0.6","1.2","34.5","24.1"
"1896","Giants","5225","40","829","720","274",".097",".309",".297",".364",".394",".362","35.6","103","","1.0","27.9","7.1","20.5"
"1911","Athletics","5920","35","861","692","226",".102","",".296",".357",".398",".362","113.4","112","","0.8","91.9","24.8","33.1"
"1951","Dodgers","6214","184","855","794","89",".159",".285",".275",".352",".434",".362","120.9","109","","-6.1","61.2","71.1","34.5"
"1895","Colts","5252","55","866","727","260",".107",".312",".298",".361",".405",".362","3.6","93","","3.9","-55.1","-7.5","12.4"
"1929","Giants","6060","136","897","829","85",".140",".301",".296",".358",".436",".362","44.2","97","","14.6","-11.6","75.5","25.5"
"1950","Dodgers","6086","194","847","774","77",".172",".279",".272",".349",".444",".362","75.7","105","","13.7","53.6","65.8","30.6"
"1931","Cubs","6178","84","828","765","49",".133",".316",".289",".360",".422",".362","109.9","110","","8.4","90.6","27.2","30.5"
"1896","Senators","5315","45","818","702","258",".102",".303",".286",".365",".388",".362","35.1","99","","-2.7","-14.9","-32.8","13.5"
"1936","White Sox","6283","60","920","862","66",".105",".308",".292",".374",".397",".362","63.4","91","","-3.4","-85.9","70.8","20.9"
"1890","Infants","5362","27","849","701","180",".100",".303",".285",".360",".386",".362","111.1","103","","-25.4","-1.9","-59.2","15.6"
"1949","Dodgers","6173","152","879","816","117",".146",".283",".274",".354",".419",".362","83.8","105","","22.1","59.9","74.0","33.4"
"1936","Senators","6095","62","889","823","104",".119",".310",".295",".365",".414",".362","59.4","95","","-1.6","-47.5","56.6","22.4"
"1911","Giants","5781","41","756","651","347",".111",".305",".279",".358",".390",".361","106.5","111","","25.5","103.7","30.1","32.9"
"1889","Giants","5236","52","935","743","292",".111",".299",".282",".360",".393",".361","121.9","110","","-5.2","78.9","40.4","28.7"
"2007","Yankees","6528","201","968","929","123",".174",".318",".290",".366",".463",".361","165.8","119","","11.9","168.4","-47.2","33.9"
"1895","Beaneaters","5391","54","907","753","199",".100",".297",".290",".365",".391",".361","-0.4","92","","-10.1","-84.5","10.0","12.5"
"1927","Tigers","6113","51","845","765","139",".120",".307",".289",".363",".409",".361","75.4","99","","-8.1","-18.4","20.8","21.7"
"1896","Beaneaters","5300","36","860","736","241",".091",".313",".300",".363",".392",".361","30.3","95","","-5.9","-49.6","33.9","17.3"
"1896","Spiders","5435","28","840","712","175",".090",".318",".301",".363",".391",".361","30.9","96","","-20.2","-54.3","36.5","17.6"
"1897","Spiders","5175","16","773","663","181",".090","",".298",".364",".389",".361","30.0","99","","-9.5","-13.9","33.6","19.3"
"1954","Dodgers","6058","186","778","741","46",".174",".274",".270",".349",".444",".361","125.3","104","","-1.9","25.6","58.9","28.3"
"1939","Tigers","6106","124","849","803","88",".147",".296",".279",".356",".426",".361","81.5","93","","-1.6","-61.1","47.6","20.4"
"1930","Senators","6113","57","892","819","101",".124",".321",".302",".369",".425",".361","27.1","103","","-13.8","12.4","95.7","31.0"
"1939","Cardinals","6116","98","779","732","44",".138",".314",".294",".354",".432",".361","80.7","104","","6.3","40.0","55.4","27.8"
"1922","Pirates","6151","52","865","777","145",".111",".320",".308",".360",".419",".361","61.1","100","","17.9","17.8","-16.9","21.9"
"1921","Giants","5946","75","840","748","137",".123",".312",".298",".359",".421",".361","61.8","108","","-4.4","54.3","87.1","34.0"
"2000","Astros","6444","249","938","900","114",".199",".305",".278",".361",".477",".361","106.3","105","","-0.3","45.4","-10.9","23.0"
"1926","Tigers","6182","36","793","717","88",".107",".311",".291",".366",".398",".361","78.1","99","","-15.5","-23.5","-4.7","19.6"
"1923","Giants","6083","85","854","790","106",".120",".307",".295",".356",".415",".361","65.9","106","","6.0","51.5","65.4","32.3"
"1938","Senators","6158","85","814","768","65",".124",".302",".293",".362",".416",".360","83.9","99","","-5.8","-16.4","44.5","25.5"
"1929","Cardinals","6030","100","831","779","72",".145",".305",".293",".354",".438",".360","34.2","93","","12.1","-52.0","23.9","16.5"
"1899","Orioles","5707","17","827","649","364",".078","",".297",".365",".376",".360","75.7","104","","25.9","57.6","44.5","29.6"
"1897","Giants","5360","31","895","758","328",".093","",".299",".361",".392",".360","28.1","102","","18.0","35.2","26.2","23.2"
"1950","Indians","6080","164","806","758","40",".153",".280",".269",".358",".422",".360","67.0","104","","-8.8","24.7","64.2","29.8"
"1927","Pirates","6077","54","817","759","65",".107",".320",".305",".361",".412",".360","73.6","103","","8.5","34.9","48.2","27.3"
"1998","Yankees","6444","207","965","907","153",".172",".317",".288",".364",".460",".360","153.8","116","","3.1","138.5","6.9","36.1"
"1926","Senators","6009","43","802","721","117",".109",".308",".292",".364",".401",".360","71.8","102","","-17.6","-1.4","10.5","22.7"
"1997","Indians","6304","220","868","810","118",".181",".309",".286",".358",".467",".360","144.1","113","","-1.4","106.5","-8.1","31.3"
"1949","Yankees","6041","115","829","760","58",".131",".282",".269",".362",".400",".360","74.2","105","","-2.4","33.2","65.4","30.3"
"1938","Indians","6001","113","847","799","83",".153",".300",".281",".350",".434",".360","77.1","95","","-1.5","-47.5","25.1","20.0"
"1921","Browns","6103","67","835","726","91",".121",".318",".303",".357",".424",".360","57.3","94","","5.3","-44.2","7.5","16.8"
"1946","Red Sox","6126","109","792","737","45",".131",".293",".271",".356",".402",".360","134.6","109","","-7.9","54.3","57.7","34.3"
"1928","Cardinals","6144","113","807","749","82",".144",".290",".281",".353",".425",".359","75.2","102","","13.3","25.4","53.4","26.9"
"1930","Indians","6120","72","890","830","51",".127",".322",".304",".363",".431",".359","18.0","96","","-13.4","-48.1","3.1","16.4"
"1942","Red Sox","5984","103","761","702","68",".126",".291",".276",".352",".403",".359","147.9","109","","-12.5","50.7","65.7","34.2"
"2000","Giants","6418","226","925","889","79",".194",".303",".278",".362",".472",".359","100.0","112","","-1.3","103.6","53.7","34.7"
"1994","Indians","4493","167","679","647","131",".194",".306",".290",".351",".484",".359","97.1","111","","5.1","71.2","-19.8","19.7"
"1924","Indians","6027","41","756","682","85",".104",".314",".298",".362",".402",".359","51.6","96","","8.0","-27.3","-3.3","17.9"
"1925","Phillies","6035","100","812","731","48",".130",".314",".295",".354",".425",".359","21.7","88","","-3.3","-103.4","-36.0","6.5"
"1928","Giants","6103","118","807","758","62",".137",".298",".293",".349",".430",".359","69.7","103","","9.3","35.6","82.5","30.7"
"1897","Senators","5141","36","781","674","208",".098","",".297",".357",".395",".359","19.1","97","","-2.6","-28.9","6.0","15.2"
"1873","Red Stockings","2817","12","739","489","39",".098",".338",".338",".352",".436",".358","151.8","120","","-5.4","117.6","-4.0","15.3"
"2004","Red Sox","6515","222","949","912","68",".190",".319",".282",".360",".472",".358","156.2","114","","-17.1","97.9","-66.6","24.7"
"1938","Tigers","6060","137","862","804","76",".139",".285",".272",".359",".411",".358","69.1","90","","-5.3","-97.4","43.2","17.2"
"1996","Rockies","6333","221","961","909","201",".185",".321",".287",".355",".472",".358","118.9","93","","8.9","-45.4","35.7","17.6"
"1920","White Sox","6030","37","794","695","109",".107",".311",".295",".357",".402",".358","106.0","101","","3.0","11.0","32.9","25.5"
"1999","Yankees","6416","193","900","855","104",".171",".309",".282",".366",".453",".358","96.6","111","","-4.9","90.4","-39.9","25.9"
"1911","Tigers","5995","30","831","657","276",".097","",".292",".355",".388",".358","94.0","102","","9.6","27.8","-13.3","23.0"
"1935","Yankees","5917","104","818","755","68",".136",".293",".280",".358",".416",".358","76.9","105","","-8.7","32.2","79.9","30.3"
"1996","Rangers","6494","221","928","890","83",".184",".311",".284",".358",".469",".358","124.2","104","","3.3","35.7","3.2","27.0"
"1929","Robins","5954","99","755","705","80",".136",".304",".291",".355",".427",".358","22.2","94","","13.7","-38.8","-5.9","14.5"
"1955","Dodgers","6037","201","857","800","79",".177",".278",".271",".356",".448",".358","145.0","109","","-1.9","67.1","91.2","33.3"
"1976","Reds","6538","141","857","802","210",".144",".309",".280",".357",".424",".357","195.1","120","","19.0","166.6","39.2","45.8"
"2000","White Sox","6410","216","978","926","119",".184",".309",".286",".356",".470",".357","92.2","106","","5.3","58.5","-9.6","25.9"
"1932","Phillies","6108","122","844","780","71",".151",".307",".292",".348",".442",".357","99.6","99","","13.1","4.2","7.2","20.0"
"1998","Rangers","6401","201","940","894","82",".173",".321",".289",".357",".462",".357","136.2","108","","-4.1","60.8","-0.4","27.6"
"1995","Rockies","5647","200","785","749","125",".189",".311",".282",".350",".471",".357","108.2","91","","-2.1","-65.8","1.8","12.4"
"1900","Superbas","5440","26","816","676","274",".090","",".293",".359",".383",".357","77.2","104","","10.0","41.8","14.1","24.1"
"1924","Browns","5908","67","765","679","85",".113",".306",".295",".356",".408",".357","41.6","91","","-4.7","-77.0","21.4","15.0"
"1912","Cubs","5830","42","756","639","164",".110",".309",".277",".354",".386",".357","86.5","104","","-10.6","16.8","58.5","27.9"
"1934","Indians","6026","100","814","765","52",".136",".298",".287",".352",".423",".357","70.8","96","","-6.4","-40.4","42.0","21.0"
"1941","Yankees","6137","151","830","774","51",".150",".278",".269",".346",".419",".357","104.8","106","","-6.2","41.3","102.8","37.1"
"2001","Rockies","6394","213","923","874","132",".191",".322",".292",".354",".483",".357","154.1","95","","2.6","-41.9","102.6","26.5"
"1922","Indians","6089","32","767","698","90",".106",".307",".292",".364",".398",".357","39.2","99","","7.0","-0.5","-2.6","18.8"
"1948","Braves","6121","95","739","695","43",".124",".292",".275",".358",".399",".357","67.0","110","","5.8","82.4","53.6","33.7"
"1897","Phillies","5294","40","752","633","163",".105","",".293",".353",".398",".357","9.4","98","","-11.5","-24.9","-11.8","14.4"
"1937","Indians","6040","103","817","754","78",".143",".297",".280",".352",".423",".356","60.2","95","","-10.4","-56.8","7.4","16.4"
"2000","Athletics","6432","239","947","908","40",".188",".300",".270",".360",".458",".356","87.0","109","","1.9","80.7","-62.9","22.8"
"1896","Reds","4911","20","783","648","350",".094",".307",".294",".357",".388",".356","8.4","94","","22.2","-28.6","66.0","20.7"
"1926","Cardinals","6104","90","817","756","83",".129",".304",".286",".348",".415",".356","54.4","103","","13.9","34.1","73.7","29.1"
"1995","Red Sox","5716","175","791","754","99",".175",".310",".280",".357",".455",".356","109.6","107","","-0.8","53.2","59.8","30.2"
"1876","White Stockings","2818","8","624","441","",".080",".341",".337",".353",".417",".356","171.1","135","","0.0","148.0","42.9","26.0"
"2000","Angels","6373","236","864","837","93",".193",".303",".280",".352",".472",".356","83.7","106","","-4.5","49.9","52.7","31.3"
"1937","Cubs","6028","96","811","762","71",".129",".303",".287",".355",".416",".356","58.2","109","","10.6","75.3","48.8","31.2"
"1925","White Sox","6167","38","811","738","131",".102",".302",".284",".369",".385",".356","6.9","96","","1.8","-30.9","46.9","22.0"
"2006","Yankees","6455","210","930","902","139",".177",".315",".285",".363",".461",".356","132.8","113","","7.4","118.9","-91.9","24.2"
"1996","Red Sox","6545","209","928","882","91",".173",".311",".283",".359",".457",".356","112.8","104","","-3.3","31.5","-97.0","16.8"
"1937","Red Sox","6085","100","821","769","79",".130",".299",".281",".357",".411",".356","58.2","90","","-14.8","-102.1","3.1","11.8"
"1953","Yankees","5960","139","801","762","34",".144",".290",".273",".358",".417",".355","90.1","115","","-6.0","102.8","36.9","34.1"
"1924","White Sox","6117","41","794","710","137",".095",".308",".289",".366",".383",".355","36.0","98","","5.4","-14.8","-24.0","17.4"
"1912","Red Sox","5872","29","799","654","185",".103","",".277",".355",".380",".355","78.9","111","","-6.7","74.1","31.1","30.5"
"1996","Orioles","6494","257","949","914","77",".198",".284",".274",".350",".472",".355","109.3","106","","-4.2","52.2","-51.1","23.1"
"1977","Red Sox","6184","213","859","828","66",".183",".301",".281",".345",".465",".355","153.6","111","","-1.2","78.0","-0.5","29.2"
"1901","Orioles","5111","24","761","633","207",".103","",".294",".353",".397",".355","109.3","102","","4.7","22.0","-44.0","15.5"
"1922","Yankees","5998","95","757","677","62",".124",".305",".287",".353",".411",".355","28.7","98","","0.9","-11.9","83.8","26.0"
"1894","Browns","5092","54","771","650","190",".121",".297",".286",".354",".408",".355","-122.7","84","","-8.9","-167.0","-6.3","4.7"
"2019","Astros","6394","288","920","891","67",".221",".296",".274",".352",".495",".355","191.8","126","88.3","-9.5","201.6","-2.5","41.3"
"2008","Rangers","6478","194","901","867","81",".179",".325",".283",".354",".462",".355","139.6","112","","11.1","108.1","-97.3","23.5"
"1947","Dodgers","6125","83","774","719","88",".112",".292",".272",".364",".384",".355","86.5","100","","16.3","15.2","73.2","30.0"
